collectioncode,catalognumber,scientificname,commonname,detectedby,station,receiver,receiver_depth,tagname,timezone,longitude,latitude,the_geom,yearcollected,monthcollected,daycollected,julianday,timeofday
UNCST,UNCST-17762-2018-08-10,Carcharias taurus,sand tiger shark,RSTSNCA,WE HUTTON AKA PAPOOSE,483725,35.75757576,A69-9001-17762,UTC,-76.6524,34.1437,0101000020E610000044FAEDEBC02953C0B537F8C264124140,2023,1,2,2,6.297222222
UNCST,UNCST-17762-2018-08-10,Carcharias taurus,sand tiger shark,RSTSNCA,WE HUTTON AKA PAPOOSE,483725,35.75757576,A69-9001-17762,UTC,-76.6524,34.1437,0101000020E610000044FAEDEBC02953C0B537F8C264124140,2023,1,2,2,6.340277778
UNCST,UNCST-17762-2018-08-10,Carcharias taurus,sand tiger shark,RSTSNCA,WE HUTTON AKA PAPOOSE,483725,35.75757576,A69-9001-17762,UTC,-76.6524,34.1437,0101000020E610000044FAEDEBC02953C0B537F8C264124140,2023,1,2,2,6.375
UNCST,UNCST-17762-2018-08-10,Carcharias taurus,sand tiger shark,RSTSNCA,WE HUTTON AKA PAPOOSE,483725,35.75757576,A69-9001-17762,UTC,-76.6524,34.1437,0101000020E610000044FAEDEBC02953C0B537F8C264124140,2023,1,2,2,6.393333333
UNCST,UNCST-17762-2018-08-10,Carcharias taurus,sand tiger shark,RSTSNCA,WE HUTTON AKA PAPOOSE,483725,35.75757576,A69-9001-17762,UTC,-76.6524,34.1437,0101000020E610000044FAEDEBC02953C0B537F8C264124140,2023,1,2,2,6.411666667
UNCST,UNCST-17762-2018-08-10,Carcharias taurus,sand tiger shark,RSTSNCA,WE HUTTON AKA PAPOOSE,483725,35.75757576,A69-9001-17762,UTC,-76.6524,34.1437,0101000020E610000044FAEDEBC02953C0B537F8C264124140,2023,1,2,2,6.430555556
UNCST,UNCST-17762-2018-08-10,Carcharias taurus,sand tiger shark,RSTSNCA,WE HUTTON AKA PAPOOSE,483725,35.75757576,A69-9001-17762,UTC,-76.6524,34.1437,0101000020E610000044FAEDEBC02953C0B537F8C264124140,2023,1,2,2,6.45
UNCST,UNCST-17762-2018-08-10,Carcharias taurus,sand tiger shark,RSTSNCA,WE HUTTON AKA PAPOOSE,483725,35.75757576,A69-9001-17762,UTC,-76.6524,34.1437,0101000020E610000044FAEDEBC02953C0B537F8C264124140,2023,1,2,2,6.471111111
UNCST,UNCST-17762-2018-08-10,Carcharias taurus,sand tiger shark,RSTSNCA,WE HUTTON AKA PAPOOSE,483725,35.75757576,A69-9001-17762,UTC,-76.6524,34.1437,0101000020E610000044FAEDEBC02953C0B537F8C264124140,2023,1,2,2,6.495277778
UNCST,UNCST-17762-2018-08-10,Carcharias taurus,sand tiger shark,RSTSNCA,WE HUTTON AKA PAPOOSE,483725,35.75757576,A69-9001-17762,UTC,-76.6524,34.1437,0101000020E610000044FAEDEBC02953C0B537F8C264124140,2023,1,2,2,6.525277778
UNCST,UNCST-17762-2018-08-10,Carcharias taurus,sand tiger shark,RSTSNCA,WE HUTTON AKA PAPOOSE,483725,35.75757576,A69-9001-17762,UTC,-76.6524,34.1437,0101000020E610000044FAEDEBC02953C0B537F8C264124140,2023,1,2,2,6.567222222
UNCST,UNCST-17762-2018-08-10,Carcharias taurus,sand tiger shark,RSTSNCA,WE HUTTON AKA PAPOOSE,483725,35.75757576,A69-9001-17762,UTC,-76.6524,34.1437,0101000020E610000044FAEDEBC02953C0B537F8C264124140,2023,1,2,2,6.600277778
UNCST,UNCST-17762-2018-08-10,Carcharias taurus,sand tiger shark,RSTSNCA,WE HUTTON AKA PAPOOSE,483725,35.75757576,A69-9001-17762,UTC,-76.6524,34.1437,0101000020E610000044FAEDEBC02953C0B537F8C264124140,2023,1,2,2,6.648055556
UNCST,UNCST-17762-2018-08-10,Carcharias taurus,sand tiger shark,RSTSNCA,WE HUTTON AKA PAPOOSE,483725,35.75757576,A69-9001-17762,UTC,-76.6524,34.1437,0101000020E610000044FAEDEBC02953C0B537F8C264124140,2023,1,2,2,6.692222222
UNCST,UNCST-17762-2018-08-10,Carcharias taurus,sand tiger shark,RSTSNCA,WE HUTTON AKA PAPOOSE,483725,35.75757576,A69-9001-17762,UTC,-76.6524,34.1437,0101000020E610000044FAEDEBC02953C0B537F8C264124140,2023,1,2,2,6.729166667
UNCST,UNCST-17762-2018-08-10,Carcharias taurus,sand tiger shark,RSTSNCA,WE HUTTON AKA PAPOOSE,483725,35.75757576,A69-9001-17762,UTC,-76.6524,34.1437,0101000020E610000044FAEDEBC02953C0B537F8C264124140,2023,1,2,2,6.778611111
UNCST,UNCST-17762-2018-08-10,Carcharias taurus,sand tiger shark,RSTSNCA,WE HUTTON AKA PAPOOSE,483725,35.75757576,A69-9001-17762,UTC,-76.6524,34.1437,0101000020E610000044FAEDEBC02953C0B537F8C264124140,2023,1,2,2,6.814722222
UNCST,UNCST-17762-2018-08-10,Carcharias taurus,sand tiger shark,RSTSNCA,WE HUTTON AKA PAPOOSE,483725,35.75757576,A69-9001-17762,UTC,-76.6524,34.1437,0101000020E610000044FAEDEBC02953C0B537F8C264124140,2023,1,2,2,6.835555556
UNCST,UNCST-17762-2018-08-10,Carcharias taurus,sand tiger shark,RSTSNCA,WE HUTTON AKA PAPOOSE,483725,35.75757576,A69-9001-17762,UTC,-76.6524,34.1437,0101000020E610000044FAEDEBC02953C0B537F8C264124140,2023,1,2,2,6.888333333
